Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",5.01918e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",4.39583e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",4.39824e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",5.86154e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",8.87843e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",8.86574e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.76753e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",5.96804e+07,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",6.02545e+07,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",7.00362e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",5.56605e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",5.57201e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.94962e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",6.61161e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",6.60828e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",9.18224e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",2.24927e+07,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",2.22057e+07,1,100
"Map<int,int>","iterate","std","N=100",700793,1,100
"Map<int,int>","iterate","spring","N=100",1.16667e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",1.18938e+06,1,100
"Map<int,int>","iterate","std","N=1000",798429,1,100
"Map<int,int>","iterate","spring","N=1000",922118,1,100
"Map<int,int>","iterate","unsynced","N=1000",914506,1,100
"Map<int,int>","iterate","std","N=10000",819696,1,100
"Map<int,int>","iterate","spring","N=10000",821170,1,100
