Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=  100",503393,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  115",537284,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  132",443730,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  152",434772,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  174",431420,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  200",506112,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  230",537572,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  264",552956,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  303",482769,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  348",475836,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  400",537595,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  459",578660,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  528",586210,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  606",563488,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  696",553986,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  800",584272,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  919",646444,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1056",654885,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1213",707133,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1393",773270,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1536",754744,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1600",777669,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1792",806639,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1838",811770,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2000",807476,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2047",794637,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2048",788614,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2049",791844,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2071",795325,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2144",789032,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2219",725444,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2297",711349,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2304",705455,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2378",712119,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2462",724097,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2549",730656,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2639",768471,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2732",799757,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2828",823375,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2928",852347,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3031",883753,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3072",880337,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3138",898629,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3249",918688,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3364",931389,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3482",974440,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3584",999061,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3605",1.00816e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3732",1.03093e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3864",1.06056e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4000",1.09335e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4095",1.10004e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4096",1.10488e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4097",1.10374e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4141",1.10028e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4287",1.08416e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4438",1.00609e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4595",894267,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4608",890988,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4757",813406,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4925",747156,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5098",688553,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5278",697944,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5464",727202,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5657",766809,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5856",783787,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6063",808278,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6144",825795,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6277",838452,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6498",843933,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6727",853443,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6964",875489,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7168",901271,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7210",896908,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7464",902619,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7727",929501,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8000",944233,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8191",940250,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8192",944648,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8193",947420,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8282",948884,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8574",955932,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8877",955782,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 9190",957605,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 9216",956125,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 9514",950105,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 9849",862933,1,10
"Map<int,int>","90% find / 10% mutate","std","N=10196",661632,1,10
"Map<int,int>","90% find / 10% mutate","std","N=10556",635984,1,10
"Map<int,int>","90% find / 10% mutate","std","N=10928",669165,1,10
"Map<int,int>","90% find / 10% mutate","std","N=11314",696566,1,10
"Map<int,int>","90% find / 10% mutate","std","N=11713",716781,1,10
"Map<int,int>","90% find / 10% mutate","std","N=12126",722506,1,10
"Map<int,int>","90% find / 10% mutate","std","N=12288",735781,1,10
"Map<int,int>","90% find / 10% mutate","std","N=12553",742008,1,10
"Map<int,int>","90% find / 10% mutate","std","N=12996",756017,1,10
"Map<int,int>","90% find / 10% mutate","std","N=13454",760570,1,10
"Map<int,int>","90% find / 10% mutate","std","N=13929",769079,1,10
