Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=  100",498802,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  115",534725,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  132",442288,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  152",431778,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  174",429615,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  200",501429,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  230",532670,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  264",551855,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  303",479491,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  348",472894,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  400",536650,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  459",576524,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  528",582664,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  606",560856,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  696",548459,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  800",580299,1,10
"Map<int,int>","90% find / 10% mutate","std","N=  919",637974,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1056",651572,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1213",701625,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1393",767040,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1536",751602,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1600",780487,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1792",805692,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 1838",811998,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2000",800932,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2047",790430,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2048",790328,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2049",788533,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2071",789917,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2144",785272,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2219",721434,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2297",703970,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2304",699776,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2378",708904,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2462",721929,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2549",728938,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2639",760612,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2732",794660,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2828",820475,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 2928",849985,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3031",877672,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3072",880899,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3138",891923,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3249",914043,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3364",934398,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3482",970298,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3584",997220,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3605",1.0025e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3732",1.03265e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 3864",1.0641e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4000",1.08862e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4095",1.09812e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4096",1.10134e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4097",1.0955e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4141",1.09694e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4287",1.07791e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4438",1.00084e+06,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4595",887068,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4608",887619,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4757",811650,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 4925",748238,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5098",679979,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5278",696938,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5464",725829,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5657",761292,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 5856",785061,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6063",807675,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6144",814409,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6277",837773,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6498",839713,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6727",848853,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 6964",871716,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7168",878441,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7210",891560,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7464",893694,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 7727",920846,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8000",928344,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8191",929372,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8192",933443,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8193",936901,1,10
"Map<int,int>","90% find / 10% mutate","std","N= 8282",935073,1,10
