Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",5.0288e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",4.31772e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",4.32271e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",5.8761e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",4.69419e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",4.6926e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.692e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",5.28939e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",5.26885e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",6.9368e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",5.37857e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",5.35467e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.62643e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",5.75633e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",5.74977e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",8.9535e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",6.99406e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",6.89562e+06,1,100
"Map<int,int>","iterate","std","N=100",701702,1,100
"Map<int,int>","iterate","spring","N=100",1.79212e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",1.78301e+06,1,100
"Map<int,int>","iterate","std","N=1000",798686,1,100
"Map<int,int>","iterate","spring","N=1000",1.32826e+06,1,100
"Map<int,int>","iterate","unsynced","N=1000",1.33769e+06,1,100
"Map<int,int>","iterate","std","N=10000",824963,1,100
"Map<int,int>","iterate","spring","N=10000",1.12609e+06,1,100
"Map<int,int>","iterate","unsynced","N=10000",1.13513e+06,1,100
"Map<string,string>","90% find / 10% mutate","std","N=100",1.6263e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=100",1.02364e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=100",1.02903e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=1000",1.9747e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=1000",1.44248e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=1000",1.44866e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=10000",2.38753e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=10000",1.89834e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=10000",1.89396e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=100",1.74275e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=100",1.21546e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=100",1.21128e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=1000",2.11135e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=1000",1.56708e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=1000",1.5709e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=10000",2.67248e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=10000",2.16317e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=10000",2.15925e+07,1,100
"Map<string,string>","iterate","std","N=100",1.18958e+06,1,100
"Map<string,string>","iterate","spring","N=100",1.40654e+06,1,100
"Map<string,string>","iterate","unsynced","N=100",1.39308e+06,1,100
"Map<string,string>","iterate","std","N=1000",2.85547e+06,1,100
"Map<string,string>","iterate","spring","N=1000",1.23128e+06,1,100
"Map<string,string>","iterate","unsynced","N=1000",1.23571e+06,1,100
"Map<string,string>","iterate","std","N=10000",3.84156e+06,1,100
"Map<string,string>","iterate","spring","N=10000",1.39514e+06,1,100
"Map<string,string>","iterate","unsynced","N=10000",1.36721e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=100",5.10174e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=100",4.57291e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=100",4.6859e+06,1,100
