Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Set<int>","iterate","std","N=1000",797105,1,100
"Set<int>","iterate","spring","N=1000",822612,1,100
"Set<int>","iterate","unsynced","N=1000",821998,1,100
"Set<int>","iterate","std","N=10000",823393,1,100
"Set<int>","iterate","spring","N=10000",717550,1,100
"Set<int>","iterate","unsynced","N=10000",718209,1,100
"Set<string>","90% find / 10% mutate","std","N=100",1.57849e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=100",1.15628e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=100",1.15411e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=1000",1.85006e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=1000",1.91719e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=1000",1.92011e+07,1,100
"Set<string>","90% find / 10% mutate","std","N=10000",2.23599e+07,1,100
"Set<string>","90% find / 10% mutate","spring","N=10000",2.92855e+07,1,100
"Set<string>","90% find / 10% mutate","unsynced","N=10000",2.91336e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=100",1.65118e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=100",1.22618e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=100",1.22182e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=1000",1.96262e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=1000",1.93619e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=1000",1.94231e+07,1,100
"Set<string>","50% find / 50% mutate","std","N=10000",2.47811e+07,1,100
"Set<string>","50% find / 50% mutate","spring","N=10000",3.36823e+07,1,100
"Set<string>","50% find / 50% mutate","unsynced","N=10000",3.40574e+07,1,100
"Set<string>","iterate","std","N=100",1.1893e+06,1,100
"Set<string>","iterate","spring","N=100",918535,1,100
"Set<string>","iterate","unsynced","N=100",915892,1,100
"Set<string>","iterate","std","N=1000",2.71313e+06,1,100
"Set<string>","iterate","spring","N=1000",1.97587e+06,1,100
"Set<string>","iterate","unsynced","N=1000",2.01876e+06,1,100
"Set<string>","iterate","std","N=10000",3.001e+06,1,100
"Set<string>","iterate","spring","N=10000",3.02755e+06,1,100
"Set<string>","iterate","unsynced","N=10000",3.03115e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=100",6.60879e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=100",1.74285e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=100",1.62554e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=1000",7.77206e+06,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=1000",2.61637e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=1000",2.67446e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","std","N=10000",1.00861e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","spring","N=10000",5.01182e+07,1,100
"Map<uintptr_t,int>","90% find / 10% mutate","unsynced","N=10000",4.92603e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=100",7.91704e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=100",1.95101e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=100",1.93233e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=1000",8.63143e+06,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=1000",2.5838e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=1000",2.57373e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","std","N=10000",1.00755e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","spring","N=10000",2.95373e+07,1,100
"Map<uintptr_t,int>","50% find / 50% mutate","unsynced","N=10000",2.97756e+07,1,100
"Map<uintptr_t,int>","iterate","std","N=100",1.18929e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=100",1.26436e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=100",1.3222e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=1000",1.53532e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=1000",1.18524e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=1000",1.18964e+06,1,100
"Map<uintptr_t,int>","iterate","std","N=10000",1.30817e+06,1,100
"Map<uintptr_t,int>","iterate","spring","N=10000",1.76094e+06,1,100
"Map<uintptr_t,int>","iterate","unsynced","N=10000",1.6392e+06,1,100
