Container,Workload,Impl,Benchmark,Mean (ns),Iterations,Samples
"Map<int,int>","90% find / 10% mutate","std","N=100",5.63932e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=100",4.34601e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=100",4.33026e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=1000",5.99794e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=1000",4.39136e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=1000",4.39015e+06,1,100
"Map<int,int>","90% find / 10% mutate","std","N=10000",7.61146e+06,1,100
"Map<int,int>","90% find / 10% mutate","spring","N=10000",4.94816e+06,1,100
"Map<int,int>","90% find / 10% mutate","unsynced","N=10000",4.94507e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=100",7.082e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=100",5.40835e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=100",5.40054e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=1000",7.41423e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=1000",5.43135e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=1000",5.41406e+06,1,100
"Map<int,int>","50% find / 50% mutate","std","N=10000",8.86952e+06,1,100
"Map<int,int>","50% find / 50% mutate","spring","N=10000",5.76901e+06,1,100
"Map<int,int>","50% find / 50% mutate","unsynced","N=10000",5.76199e+06,1,100
"Map<int,int>","iterate","std","N=100",701198,1,100
"Map<int,int>","iterate","spring","N=100",1.78998e+06,1,100
"Map<int,int>","iterate","unsynced","N=100",1.78199e+06,1,100
"Map<int,int>","iterate","std","N=1000",797882,1,100
"Map<int,int>","iterate","spring","N=1000",1.33425e+06,1,100
"Map<int,int>","iterate","unsynced","N=1000",1.32884e+06,1,100
"Map<int,int>","iterate","std","N=10000",808029,1,100
"Map<int,int>","iterate","spring","N=10000",1.13599e+06,1,100
"Map<int,int>","iterate","unsynced","N=10000",1.14302e+06,1,100
"Map<string,string>","90% find / 10% mutate","std","N=100",1.73619e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=100",1.92561e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=100",1.92588e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=1000",2.09433e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=1000",2.80447e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=1000",2.80569e+07,1,100
"Map<string,string>","90% find / 10% mutate","std","N=10000",2.30741e+07,1,100
"Map<string,string>","90% find / 10% mutate","spring","N=10000",3.75047e+07,1,100
"Map<string,string>","90% find / 10% mutate","unsynced","N=10000",3.75417e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=100",1.84614e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=100",2.14733e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=100",2.12611e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=1000",2.28113e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=1000",2.97399e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=1000",2.96721e+07,1,100
"Map<string,string>","50% find / 50% mutate","std","N=10000",2.61615e+07,1,100
"Map<string,string>","50% find / 50% mutate","spring","N=10000",5.1573e+07,1,100
"Map<string,string>","50% find / 50% mutate","unsynced","N=10000",5.14887e+07,1,100
"Map<string,string>","iterate","std","N=100",1.18985e+06,1,100
"Map<string,string>","iterate","spring","N=100",1.39986e+06,1,100
"Map<string,string>","iterate","unsynced","N=100",1.39938e+06,1,100
"Map<string,string>","iterate","std","N=1000",1.77825e+06,1,100
"Map<string,string>","iterate","spring","N=1000",1.25384e+06,1,100
"Map<string,string>","iterate","unsynced","N=1000",1.2416e+06,1,100
"Map<string,string>","iterate","std","N=10000",2.18799e+06,1,100
"Map<string,string>","iterate","spring","N=10000",1.46894e+06,1,100
"Map<string,string>","iterate","unsynced","N=10000",1.45937e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=100",5.52671e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=100",4.36872e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=100",4.37467e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=1000",6.07683e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=1000",4.42934e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=1000",4.43892e+06,1,100
"Set<int>","90% find / 10% mutate","std","N=10000",7.73381e+06,1,100
"Set<int>","90% find / 10% mutate","spring","N=10000",4.96916e+06,1,100
"Set<int>","90% find / 10% mutate","unsynced","N=10000",4.9461e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=100",7.14813e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=100",5.62721e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=100",5.64331e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=1000",7.48679e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=1000",5.51751e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=1000",5.54622e+06,1,100
"Set<int>","50% find / 50% mutate","std","N=10000",9.22109e+06,1,100
"Set<int>","50% find / 50% mutate","spring","N=10000",5.85764e+06,1,100
"Set<int>","50% find / 50% mutate","unsynced","N=10000",5.84842e+06,1,100
"Set<int>","iterate","std","N=100",619130,1,100
"Set<int>","iterate","spring","N=100",2.40816e+06,1,100
"Set<int>","iterate","unsynced","N=100",2.40779e+06,1,100
"Set<int>","iterate","std","N=1000",796688,1,100
"Set<int>","iterate","spring","N=1000",1.83275e+06,1,100
"Set<int>","iterate","unsynced","N=1000",1.83196e+06,1,100
"Set<int>","iterate","std","N=10000",865126,1,100
